"GEOCODIGO1","comsumo","GEOCODIGO","MUNICIPIO","UF"
251400,84.6,2514008,"São João do Cariri","PB"
251410,-1,2514107,"São João do Tigre","PB"
251420,78.1,2514206,"São José da Lagoa Tapada","PB"
251430,89.3,2514305,"São José de Caiana","PB"
251440,90.3,2514404,"São José de Espinharas","PB"
251450,85.9,2514503,"São José de Piranhas","PB"
251455,-1,2514552,"São José de Princesa","PB"
251460,87.1,2514602,"São José do Bonfim","PB"
251465,44.1,2514651,"São José do Brejo do Cruz","PB"
251470,83.4,2514701,"São José do Sabugi","PB"
251480,91.2,2514800,"São José dos Cordeiros","PB"
251490,96.3,2514909,"São Mamede","PB"
251510,76.6,2515104,"São Sebastião de Lagoa de Roça","PB"
251520,139.2,2515203,"São Sebastião do Umbuzeiro","PB"
251540,76.6,2515401,"Seridó","PB"
251550,105.7,2515500,"Serra Branca","PB"
251570,86.1,2515708,"Serra Grande","PB"
251600,49.8,2516003,"Solânea","PB"
251610,99.7,2516102,"Soledade","PB"
251615,-1,2516151,"Sossêgo","PB"
251620,195.3,2516201,"Sousa","PB"
251630,115.6,2516300,"Sumé","PB"
251640,16.8,2516409,"Campo de Santana","PB"
251650,-1,2516508,"Taperoá","PB"
251660,91,2516607,"Tavares","PB"
251670,63.1,2516706,"Teixeira","PB"
251675,182.7,2516755,"Tenório","PB"
251680,0,2516805,"Triunfo","PB"
251690,97.1,2516904,"Uiraúna","PB"
251700,85.6,2517001,"Umbuzeiro","PB"
251710,83.1,2517100,"Várzea","PB"
251720,102.1,2517209,"Vieirópolis","PB"
251740,527,2517407,"Zabelê","PB"
260010,87.9,2600104,"Afogados da Ingazeira","PE"
260020,78.1,2600203,"Afrânio","PE"
260030,86.8,2600302,"Agrestina","PE"
260050,44.6,2600500,"Águas Belas","PE"
260060,0.6,2600609,"Alagoinha","PE"
260080,86.3,2600807,"Altinho","PE"
260100,81.7,2601003,"Angelim","PE"
260110,75.2,2601102,"Araripina","PE"
260120,63,2601201,"Arcoverde","PE"
260160,108.9,2601607,"Belém de São Francisco","PE"
260170,63.4,2601706,"Belo Jardim","PE"
260180,80.9,2601805,"Betânia","PE"
260190,83.7,2601904,"Bezerros","PE"
260200,87.2,2602001,"Bodocó","PE"
260210,93.1,2602100,"Bom Conselho","PE"
260220,51.7,2602209,"Bom Jardim","PE"
260240,70.1,2602407,"Brejão","PE"
260250,4.9,2602506,"Brejinho","PE"
260260,57.9,2602605,"Brejo da Madre de Deus","PE"
260280,55.2,2602803,"Buíque","PE"
260300,93.4,2603009,"Cabrobó","PE"
260310,76.8,2603108,"Cachoeirinha","PE"
260320,7.9,2603207,"Caetés","PE"
260330,48.8,2603306,"Calçado","PE"
260340,88.6,2603405,"Calumbi","PE"
260350,80.9,2603504,"Camocim de São Félix","PE"
260370,80.8,2603702,"Canhotinho","PE"
260380,8.8,2603801,"Capoeiras","PE"
260390,88.8,2603900,"Carnaíba","PE"
260392,118.2,2603926,"Carnaubeira da Penha","PE"
260410,94.2,2604106,"Caruaru","PE"
260415,67.9,2604155,"Casinhas","PE"
260430,76.9,2604304,"Cedro","PE"
260450,77,2604502,"Chã Grande","PE"
260470,79.5,2604700,"Correntes","PE"
260490,85.7,2604908,"Cumaru","PE"
260500,102.2,2605004,"Cupira","PE"
260510,56.6,2605103,"Custódia","PE"
260515,78.7,2605152,"Dormentes","PE"
260530,66.2,2605301,"Exu","PE"
260560,84.2,2605608,"Flores","PE"
260570,90,2605707,"Floresta","PE"
260580,59.7,2605806,"Frei Miguelinho","PE"
260600,97.6,2606002,"Garanhuns","PE"
260630,86.6,2606309,"Granito","PE"
260640,136.3,2606408,"Gravatá","PE"
260650,-1,2606507,"Iati","PE"
260660,81.4,2606606,"Ibimirim","PE"
260670,75.6,2606705,"Ibirajuba","PE"
260690,65.8,2606903,"Iguaraci","PE"
260700,170.6,2607000,"Inajá","PE"
260710,75.9,2607109,"Ingazeira","PE"
260730,72.5,2607307,"Ipubi","PE"
260740,100.1,2607406,"Itacuruba","PE"
260750,78.4,2607505,"Itaíba","PE"
260770,0.2,2607703,"Itapetim","PE"
260800,0,2608008,"Jataúba","PE"
260805,110.6,2608057,"Jatobá","PE"
260810,53.2,2608107,"João Alfredo","PE"
260825,9.9,2608255,"Jucati","PE"
260830,18.6,2608305,"Jupi","PE"
260840,75.1,2608404,"Jurema","PE"
260860,84.6,2608602,"Lagoa do Ouro","PE"
260870,88.4,2608701,"Lagoa dos Gatos","PE"
260875,78,2608750,"Lagoa Grande","PE"
260880,71.4,2608800,"Lajedo","PE"
260915,60.6,2609154,"Manari","PE"
260930,76.3,2609303,"Mirandiba","PE"
260970,56,2609709,"Orobó","PE"
260980,83.7,2609808,"Orocó","PE"
260990,100.3,2609907,"Ouricuri","PE"
261010,92.5,2610103,"Palmeirina","PE"
261020,66.7,2610202,"Panelas","PE"
261030,43,2610301,"Paranatama","PE"
261040,89.5,2610400,"Parnamirim","PE"
261050,61.3,2610509,"Passira","PE"
261080,10,2610806,"Pedra","PE"
261090,75.9,2610905,"Pesqueira","PE"
261100,114.4,2611002,"Petrolândia","PE"
261110,97.8,2611101,"Petrolina","PE"
261120,4,2611200,"Poção","PE"
261153,67.7,2611533,"Quixaba","PE"
261170,102.4,2611705,"Riacho das Almas","PE"
261200,107.8,2612000,"Sairé","PE"
261210,50.6,2612109,"Salgadinho","PE"
261220,94.5,2612208,"Salgueiro","PE"
261230,38.1,2612307,"Saloá","PE"
261240,54.1,2612406,"Sanharó","PE"
261245,81,2612455,"Santa Cruz","PE"
261247,77.3,2612471,"Santa Cruz da Baixa Verde","PE"
261250,45,2612505,"Santa Cruz do Capibaribe","PE"
261255,73.4,2612554,"Santa Filomena","PE"
261260,90.9,2612604,"Santa Maria da Boa Vista","PE"
261270,52.1,2612703,"Santa Maria do Cambucá","PE"
261280,63.8,2612802,"Santa Terezinha","PE"
261300,55.9,2613008,"São Bento do Una","PE"
261310,73.5,2613107,"São Caitano","PE"
261320,84.3,2613206,"São João","PE"
261330,87.3,2613305,"São Joaquim do Monte","PE"
261350,84.9,2613503,"São José do Belmonte","PE"
261360,57.5,2613602,"São José do Egito","PE"
261390,94.8,2613909,"Serra Talhada","PE"
261400,67.7,2614006,"Serrita","PE"
261410,63.6,2614105,"Sertânia","PE"
261430,69.2,2614303,"Moreilândia","PE"
261440,53.6,2614402,"Solidão","PE"
261450,68.4,2614501,"Surubim","PE"
261460,73.8,2614600,"Tabira","PE"
261470,75.2,2614709,"Tacaimbó","PE"
261480,83.9,2614808,"Tacaratu","PE"
261500,11.7,2615003,"Taquaritinga do Norte","PE"
261510,62.1,2615102,"Terezinha","PE"
261520,75.6,2615201,"Terra Nova","PE"
261540,50.8,2615409,"Toritama","PE"
261560,74.9,2615607,"Trindade","PE"
261570,51.5,2615706,"Triunfo","PE"
261580,69.3,2615805,"Tupanatinga","PE"
261590,48.2,2615904,"Tuparetama","PE"
261600,2.8,2616001,"Venturosa","PE"
261610,74.4,2616100,"Verdejante","PE"
261618,42.1,2616183,"Vertente do Lério","PE"
261620,58.3,2616209,"Vertentes","PE"
270010,91.7,2700102,"Água Branca","AL"
270030,102,2700300,"Arapiraca","AL"
270070,80.1,2700706,"Batalha","AL"
270090,117.1,2700904,"Belo Monte","AL"
270120,105.3,2701209,"Cacimbinhas","AL"
270160,97.6,2701605,"Canapi","AL"
270180,98.2,2701803,"Carneiros","AL"
270200,84.8,2702009,"Coité do Nóia","AL"
270235,99.8,2702355,"Craíbas","AL"
270240,78.1,2702405,"Delmiro Gouveia","AL"
270250,109.7,2702504,"Dois Riachos","AL"
270255,65.7,2702553,"Estrela de Alagoas","AL"
270290,107.3,2702900,"Girau do Ponciano","AL"
270310,88.1,2703106,"Igaci","AL"
270330,89.3,2703304,"Inhapi","AL"
270340,140.4,2703403,"Jacaré dos Homens","AL"
270370,65.2,2703700,"Jaramataia","AL"
270410,88.2,2704104,"Lagoa da Canoa","AL"
270440,86.6,2704401,"Major Isidoro","AL"
270460,95,2704609,"Maravilha","AL"
270500,90,2705002,"Mata Grande","AL"
270530,55.8,2705309,"Minador do Negrão","AL"
270540,118.2,2705408,"Monteirópolis","AL"
270570,121,2705705,"Olho d'Ã?gua das Flores","AL"
270580,64.5,2705804,"Olho d'Ã?gua do Casado","AL"
270600,107.8,2706000,"Olivença","AL"
270610,56.7,2706109,"Ouro Branco","AL"
270620,102.5,2706208,"Palestina","AL"
270630,116.8,2706307,"Palmeira dos Ã?ndios","AL"
270640,215.1,2706406,"Pão de Açúcar","AL"
270642,101.5,2706422,"Pariconha","AL"
270710,86.6,2707107,"Piranhas","AL"
270720,117.3,2707206,"Poço das Trincheiras","AL"
270760,78,2707602,"Quebrangulo","AL"
270800,122.3,2708006,"Santana do Ipanema","AL"
270840,99.7,2708402,"São José da Tapera","AL"
270895,83.1,2708956,"Senador Rui Palmeira","AL"
270920,56.3,2709202,"Traipu","AL"
280010,101.5,2800100,"Amparo de São Francisco","SE"
280020,93,2800209,"Aquidabã","SE"
280110,104.5,2801108,"Canhoba","SE"
280120,100.2,2801207,"Canindé de São Francisco","SE"
280140,88.2,2801405,"Carira","SE"
280160,114,2801603,"Cedro de São João","SE"
280190,166,2801900,"Cumbe","SE"
280220,106.7,2802205,"Feira Nova","SE"
280230,84,2802304,"Frei Paulo","SE"
280240,96.4,2802403,"Gararu","SE"
280260,119.1,2802601,"Gracho Cardoso","SE"
280310,134.7,2803104,"Itabi","SE"
280370,88.2,2803708,"Macambira","SE"
280420,96.6,2804201,"Monte Alegre de Sergipe","SE"
280445,121.5,2804458,"Nossa Senhora Aparecida","SE"
280450,114.5,2804508,"Nossa Senhora da Glória","SE"
280460,76.6,2804607,"Nossa Senhora das Dores","SE"
280470,104.2,2804706,"Nossa Senhora de Lourdes","SE"
280500,97,2805000,"Pedra Mole","SE"
280520,82.5,2805208,"Pinhão","SE"
280540,93.1,2805406,"Poço Redondo","SE"
280550,85,2805505,"Poço Verde","SE"
280560,87.5,2805604,"Porto da Folha","SE"
280570,105.8,2805703,"Propriá","SE"
280600,90,2806008,"Ribeirópolis","SE"
280700,85.3,2807006,"São Miguel do Aleixo","SE"
280710,85.2,2807105,"Simão Dias","SE"
280730,106.2,2807303,"Telha","SE"
280740,94.2,2807402,"Tobias Barreto","SE"
290010,-1,2900108,"Abaíra","BA"
290020,97.5,2900207,"Abaré","BA"
290035,95.1,2900355,"Adustina","BA"
290040,81,2900405,"Água Fria","BA"
290050,83.4,2900504,"Érico Cardoso","BA"
290100,90,2901007,"Amargosa","BA"
290115,79.6,2901155,"América Dourada","BA"
290120,97.4,2901205,"Anagé","BA"
290130,79.5,2901304,"Andaraí","BA"
290135,79.7,2901353,"Andorinha","BA"
290150,65.4,2901502,"Anguera","BA"
290160,78,2901601,"Antas","BA"
290170,83.9,2901700,"Antônio Cardoso","BA"
290180,84.3,2901809,"Antônio Gonçalves","BA"
290200,88.3,2902005,"Aracatu","BA"
290210,78.3,2902104,"Araci","BA"
290260,83.1,2902609,"Baixa Grande","BA"
290265,74.1,2902658,"Banzaê","BA"
290270,-1,2902708,"Barra","BA"
290280,101.9,2902807,"Barra da Estiva","BA"
290290,91.1,2902906,"Barra do Choça","BA"
290300,83.1,2903003,"Barra do Mendes","BA"
290323,83.3,2903235,"Barro Alto","BA"
290327,78.2,2903276,"Barrocas","BA"
290350,62.8,2903508,"Belo Campo","BA"
290360,86.6,2903607,"Biritinga","BA"
290370,87.9,2903706,"Boa Nova","BA"
290380,76.4,2903805,"Boa Vista do Tupim","BA"
290390,86.4,2903904,"Bom Jesus da Lapa","BA"
290395,77.4,2903953,"Bom Jesus da Serra","BA"
290400,89,2904001,"Boninal","BA"
290405,70.7,2904050,"Bonito","BA"
290410,-1,2904100,"Boquira","BA"
290420,124,2904209,"Botuporã","BA"
290430,70.5,2904308,"Brejões","BA"
290440,96.3,2904407,"Brejolândia","BA"
290450,89.4,2904506,"Brotas de Macaúbas","BA"
290460,106.5,2904605,"Brumado","BA"
290475,-1,2904753,"Buritirama","BA"
290480,64.3,2904803,"Caatiba","BA"
290485,79.6,2904852,"Cabaceiras do Paraguaçu","BA"
290500,97.5,2905008,"Caculé","BA"
290510,32.6,2905107,"Caém","BA"
290515,68.6,2905156,"Caetanos","BA"
290520,89.1,2905206,"Caetité","BA"
290530,74.5,2905305,"Cafarnaum","BA"
290550,96.4,2905503,"Caldeirão Grande","BA"
290590,79.2,2905909,"Campo Alegre de Lourdes","BA"
290600,78.9,2906006,"Campo Formoso","BA"
290620,83.5,2906204,"Canarana","BA"
290640,65.9,2906402,"Candeal","BA"
290660,98,2906600,"Candiba","BA"
290670,88.5,2906709,"Cândido Sales","BA"
290680,73.9,2906808,"Cansanção","BA"
290682,87.5,2906824,"Canudos","BA"
290685,134.3,2906857,"Capela do Alto Alegre","BA"
290687,109.6,2906873,"Capim Grosso","BA"
290689,102.7,2906899,"Caraíbas","BA"
290710,253.7,2907103,"Carinhanha","BA"
290720,185.4,2907202,"Casa Nova","BA"
290730,82.2,2907301,"Castro Alves","BA"
290755,85.8,2907558,"Caturama","BA"
290760,93.4,2907608,"Central","BA"
290770,84,2907707,"Chorrochó","BA"
290780,82.2,2907806,"Cícero Dantas","BA"
290790,97.4,2907905,"Cipó","BA"
290810,-1,2908101,"Cocos","BA"
290840,81.5,2908408,"Conceição do Coité","BA"
290870,91,2908705,"Condeúba","BA"
290880,86.4,2908804,"Contendas do Sincorá","BA"
290900,81.5,2909000,"Cordeiros","BA"
290910,156.2,2909109,"Coribe","BA"
290920,76.7,2909208,"Coronel João Sá","BA"
290950,76.6,2909505,"Cravolândia","BA"
290960,84.4,2909604,"Crisópolis","BA"
290990,73.3,2909901,"Curaçá","BA"
291010,-1,2910107,"Dom Basílio","BA"
291030,91.1,2910305,"Elísio Medrado","BA"
291040,83.9,2910404,"Encruzilhada","BA"
291070,89.6,2910701,"Euclides da Cunha","BA"
291075,82.5,2910750,"Fátima","BA"
291077,-1,2910776,"Feira da Mata","BA"
291080,83.8,2910800,"Feira de Santana","BA"
291085,87.5,2910859,"Filadélfia","BA"
291125,84.1,2911253,"Gavião","BA"
291130,95.6,2911303,"Gentio do Ouro","BA"
291140,92.2,2911402,"Glória","BA"
291165,76.3,2911659,"Guajeru","BA"
291170,111.7,2911709,"Guanambi","BA"
291185,78.3,2911857,"Heliópolis","BA"
291190,84.5,2911907,"Iaçu","BA"
291200,92.7,2912004,"Ibiassucê","BA"
291220,99.6,2912202,"Ibicoara","BA"
291240,101.1,2912400,"Ibipeba","BA"
291250,74.8,2912509,"Ibipitanga","BA"
291260,69.4,2912608,"Ibiquera","BA"
291300,77.5,2913002,"Ibitiara","BA"
291310,87.7,2913101,"Ibititá","BA"
291320,89.1,2913200,"Ibotirama","BA"
291330,70,2913309,"Ichu","BA"
291340,-1,2913408,"Igaporã","BA"
291350,90,2913507,"Iguaí","BA"
291370,91.3,2913705,"Inhambupe","BA"
291380,77.6,2913804,"Ipecaetá","BA"
291400,88.8,2914000,"Ipirá","BA"
291410,82,2914109,"Ipupiara","BA"
291420,102.3,2914208,"Irajuba","BA"
291430,97.6,2914307,"Iramaia","BA"
291440,82.8,2914406,"Iraquara","BA"
291460,111.2,2914604,"Irecê","BA"
291470,99.5,2914703,"Itaberaba","BA"
291500,94.6,2915007,"Itaeté","BA"
291510,86.9,2915106,"Itagi","BA"
291535,85.2,2915353,"Itaguaçu da Bahia","BA"
291580,95.6,2915809,"Itambé","BA"
291640,147.7,2916401,"Itapetinga","BA"
291650,83.7,2916500,"Itapicuru","BA"
291670,69.4,2916708,"Itaquara","BA"
291680,97.6,2916807,"Itarantim","BA"
291685,98.7,2916856,"Itatim","BA"
291690,106.7,2916906,"Itiruçu","BA"
291700,66.2,2917003,"Itiúba","BA"
291710,460.8,2917102,"Itororó","BA"
291720,86,2917201,"Ituaçu","BA"
291733,86.8,2917334,"Iuiú","BA"
291740,78.8,2917409,"Jacaraci","BA"
291750,93.1,2917508,"Jacobina","BA"
291760,77,2917607,"Jaguaquara","BA"
291770,88.4,2917706,"Jaguarari","BA"
291800,94.5,2918001,"Jequié","BA"
291810,92.2,2918100,"Jeremoabo","BA"
291835,89,2918357,"João Dourado","BA"
291840,288.5,2918407,"Juazeiro","BA"
291850,87.7,2918506,"Jussara","BA"
291860,111.9,2918605,"Jussiape","BA"
291870,90.4,2918704,"Lafaiete Coutinho","BA"
291875,80.8,2918753,"Lagoa Real","BA"
291900,75.7,2919009,"Lajedinho","BA"
291905,71.3,2919058,"Lajedo do Tabocal","BA"
291910,75.9,2919108,"Lamarão","BA"
291915,92.5,2919157,"Lapão","BA"
291930,104.5,2919306,"Lençóis","BA"
291940,75.6,2919405,"Licínio de Almeida","BA"
291950,94.9,2919504,"Livramento de Nossa Senhora","BA"
291960,73.3,2919603,"Macajuba","BA"
291970,182.4,2919702,"Macarani","BA"
291980,67.5,2919801,"Macaúbas","BA"
291990,89,2919900,"Macururé","BA"
291995,91.9,2919959,"Maetinga","BA"
292000,100.4,2920007,"Maiquinique","BA"
292010,62.4,2920106,"Mairi","BA"
292020,91,2920205,"Malhada","BA"
292030,100.5,2920304,"Malhada de Pedras","BA"
292040,80.3,2920403,"Manoel Vitorino","BA"
292050,83.3,2920502,"Maracás","BA"
292080,87.3,2920809,"Marcionílio Souza","BA"
292105,83.6,2921054,"Matina","BA"
292120,85,2921203,"Miguel Calmon","BA"
292130,91.4,2921302,"Milagres","BA"
292140,83.6,2921401,"Mirangaba","BA"
292145,76.9,2921450,"Mirante","BA"
292150,71.7,2921500,"Monte Santo","BA"
292160,88,2921609,"Morpará","BA"
292170,83.8,2921708,"Morro do Chapéu","BA"
292180,81,2921807,"Mortugaba","BA"
292190,154,2921906,"Mucugê","BA"
292205,86.5,2922052,"Mulungu do Morro","BA"
292210,60.9,2922102,"Mundo Novo","BA"
292225,86.3,2922250,"Muquém de São Francisco","BA"
292265,69.2,2922656,"Nordestina","BA"
292270,89.3,2922706,"Nova Canaã","BA"
292273,102.1,2922730,"Nova Fátima","BA"
292280,69.2,2922805,"Nova Itarana","BA"
292285,73.8,2922854,"Nova Redenção","BA"
292290,85.2,2922904,"Nova Soure","BA"
292303,0,2923035,"Novo Horizonte","BA"
292305,54.7,2923050,"Novo Triunfo","BA"
292310,92.6,2923100,"Olindina","BA"
292320,142.6,2923209,"Oliveira dos Brejinhos","BA"
292335,86.2,2923357,"Ourolândia","BA"
292340,96.7,2923407,"Palmas de Monte Alto","BA"
292350,82.5,2923506,"Palmeiras","BA"
292360,98.8,2923605,"Paramirim","BA"
292370,-1,2923704,"Paratinga","BA"
292380,76.8,2923803,"Paripiranga","BA"
292400,105.9,2924009,"Paulo Afonso","BA"
292405,89.4,2924058,"Pé de Serra","BA"
292420,72.6,2924207,"Pedro Alexandre","BA"
292430,-1,2924306,"Piatã","BA"
292440,-1,2924405,"Pilão Arcado","BA"
292450,101.6,2924504,"Pindaí","BA"
292460,-1,2924603,"Pindobaçu","BA"
292465,81,2924652,"Pintadas","BA"
292470,76.1,2924702,"Piripá","BA"
292480,76.8,2924801,"Piritiba","BA"
292490,68.8,2924900,"Planaltino","BA"
292500,76.7,2925006,"Planalto","BA"
292510,90,2925105,"Poções","BA"
292525,56.5,2925253,"Ponto Novo","BA"
292540,122.6,2925402,"Potiraguá","BA"
292560,96.5,2925600,"Presidente Dutra","BA"
292570,82.1,2925709,"Presidente Jânio Quadros","BA"
292580,96.7,2925808,"Queimadas","BA"
292590,76.9,2925907,"Quijingue","BA"
292593,64.3,2925931,"Quixabeira","BA"
292595,86.2,2925956,"Rafael Jambeiro","BA"
292600,411.5,2926004,"Remanso","BA"
292610,75.7,2926103,"Retirolândia","BA"
292630,100.2,2926301,"Riachão do Jacuípe","BA"
292640,-1,2926400,"Riacho de Santana","BA"
292650,90,2926509,"Ribeira do Amparo","BA"
292660,91.5,2926608,"Ribeira do Pombal","BA"
292665,96.3,2926657,"Ribeirão do Largo","BA"
292670,90.6,2926707,"Rio de Contas","BA"
292680,90,2926806,"Rio do Antônio","BA"
292690,87.8,2926905,"Rio do Pires","BA"
292710,66.1,2927101,"Rodelas","BA"
292720,85.7,2927200,"Ruy Barbosa","BA"
292750,72.1,2927507,"Santa Bárbara","BA"
292760,80.1,2927606,"Santa Brígida","BA"
292790,86.5,2927903,"Santa Inês","BA"
292800,66.1,2928000,"Santaluz","BA"
292820,94.1,2928208,"Santana","BA"
292830,79.6,2928307,"Santanópolis","BA"
292850,98.2,2928505,"Santa Teresinha","BA"
292880,82.8,2928802,"Santo Estêvão","BA"
292895,98.6,2928950,"São Domingos","BA"
292905,142.9,2929057,"São Félix do Coribe","BA"
292925,92.8,2929255,"São Gabriel","BA"
292937,85.5,2929370,"São José do Jacuípe","BA"
292970,87.6,2929701,"Sátiro Dias","BA"
292980,65.2,2929800,"Saúde","BA"
292990,80.2,2929909,"Seabra","BA"
293000,234.9,2930006,"Sebastião Laranjeiras","BA"
293010,91.3,2930105,"Senhor do Bonfim","BA"
293015,-1,2930154,"Serra do Ramalho","BA"
293020,-1,2930204,"Sento Sé","BA"
293030,80.4,2930303,"Serra Dourada","BA"
293040,75.3,2930402,"Serra Preta","BA"
293050,90.4,2930501,"Serrinha","BA"
293060,90.2,2930600,"Serrolândia","BA"
293075,-1,2930758,"Sítio do Mato","BA"
293076,81.3,2930766,"Sítio do Quinto","BA"
293077,128.2,2930774,"Sobradinho","BA"
293080,62.5,2930808,"Souto Soares","BA"
293090,126.2,2930907,"Tabocas do Brejo Velho","BA"
293100,167.6,2931004,"Tanhaçu","BA"
293105,78.2,2931053,"Tanque Novo","BA"
293110,80.8,2931103,"Tanquinho","BA"
293130,60.2,2931301,"Tapiramutá","BA"
293150,75.2,2931509,"Teofilândia","BA"
293180,108.3,2931806,"Tremedal","BA"
293190,88.3,2931905,"Tucano","BA"
293200,84.1,2932002,"Uauá","BA"
293210,76.5,2932101,"Ubaíra","BA"
293240,97.8,2932408,"Uibaí","BA"
293245,63.6,2932457,"Umburanas","BA"
293260,-1,2932606,"Urandi","BA"
293280,82.5,2932804,"Utinga","BA"
293300,77.9,2933000,"Valente","BA"
293305,85.6,2933059,"Várzea da Roça","BA"
293310,66.4,2933109,"Várzea do Poço","BA"
293315,76.7,2933158,"Várzea Nova","BA"
293330,90.9,2933307,"Vitória da Conquista","BA"
293340,79.7,2933406,"Wagner","BA"
293360,326.8,2933604,"Xique-Xique","BA"
310100,107.7,3101003,"Águas Vermelhas","MG"
310170,124.2,3101706,"Almenara","MG"
310270,69.5,3102704,"Cachoeira de Pajeú","MG"
310340,127.7,3103405,"Araçuaí","MG"
310520,97.9,3105202,"Bandeira","MG"
310650,54.2,3106507,"Berilo","MG"
310665,139.9,3106655,"Berizal","MG"
310825,132.3,3108255,"Bonito de Minas","MG"
311270,89.3,3112703,"Capitão Enéas","MG"
311300,69.1,3113008,"Caraí","MG"
311547,92.2,3115474,"Catuti","MG"
311610,30.3,3116100,"Chapada do Norte","MG"
311700,73.8,3117009,"Comercinho","MG"
311783,85.6,3117836,"Cônego Marinho","MG"
311950,107.9,3119500,"Coronel Murta","MG"
312030,110.9,3120300,"Cristália","MG"
312087,84.1,3120870,"Curral de Dentro","MG"
312235,112.1,3122355,"Divisa Alegre","MG"
312245,87.9,3122454,"Divisópolis","MG"
312430,151.7,3124302,"Espinosa","MG"
312560,100.1,3125606,"Felisburgo","MG"
312650,76,3126505,"Francisco Badaró","MG"
312670,112,3126703,"Francisco Sá","MG"
312707,80.9,3127073,"Fruta de Leite","MG"
312733,-1,3127339,"Gameleiras","MG"
312780,96.3,3127800,"Grão Mogol","MG"
312965,114.3,3129657,"Ibiracatu","MG"
313065,98.3,3130655,"Indaiabira","MG"
313210,111.4,3132107,"Itacarambi","MG"
313330,124,3133303,"Itaobim","MG"
313400,89.5,3134004,"Itinga","MG"
313470,103.7,3134707,"Jacinto","MG"
313505,127.9,3135050,"Jaíba","MG"
313510,125.8,3135100,"Janaúba","MG"
313520,127.2,3135209,"Januária","MG"
313535,124.2,3135357,"Japonvar","MG"
313545,89.9,3135456,"Jenipapo de Minas","MG"
313580,106.5,3135803,"Jequitinhonha","MG"
313600,102.8,3136009,"Joaíma","MG"
313650,111.1,3136504,"Jordânia","MG"
313652,81.5,3136520,"José Gonçalves de Minas","MG"
313657,72,3136579,"Josenópolis","MG"
313695,106.4,3136959,"Juvenília","MG"
313865,101.5,3138658,"Lontra","MG"
313925,-1,3139250,"Mamonas","MG"
313930,129.5,3139300,"Manga","MG"
314055,110.3,3140555,"Mata Verde","MG"
314085,132.8,3140852,"Matias Cardoso","MG"
314100,112.7,3141009,"Mato Verde","MG"
314140,95.4,3141405,"Medina","MG"
314225,143.4,3142254,"Miravânia","MG"
314270,124.3,3142700,"Montalvânia","MG"
314290,131.3,3142908,"Monte Azul","MG"
314315,66.8,3143153,"Monte Formoso","MG"
314345,101.2,3143450,"Montezuma","MG"
314465,132.1,3144656,"Ninheira","MG"
314505,166.2,3145059,"Nova Porteirinha","MG"
314530,85.6,3145307,"Novo Cruzeiro","MG"
314537,90.3,3145372,"Novorizonte","MG"
314625,85.7,3146255,"Padre Carvalho","MG"
314630,105.4,3146305,"Padre Paraíso","MG"
314655,139.6,3146552,"Pai Pedro","MG"
314795,112.5,3147956,"Patis","MG"
314870,94.5,3148707,"Pedra Azul","MG"
314915,95.3,3149150,"Pedras de Maria da Cruz","MG"
315217,86.5,3152170,"Ponto dos Volantes","MG"
315220,176.8,3152204,"Porteirinha","MG"
315450,104.3,3154507,"Riacho dos Machados","MG"
315560,102.6,3155603,"Rio Pardo de Minas","MG"
315650,86.9,3156502,"Rubelita","MG"
315660,101.3,3156601,"Rubim","MG"
315700,111.1,3157005,"Salinas","MG"
315710,130.6,3157104,"Salto da Divisa","MG"
315737,66.9,3157377,"Santa Cruz de Salinas","MG"
315810,99.7,3158102,"Santa Maria do Salto","MG"
316045,113.9,3160454,"Santo Antônio do Retiro","MG"
316240,106.2,3162401,"São João da Ponte","MG"
316245,153.4,3162450,"São João das Missões","MG"
316270,118.2,3162708,"São João do Paraíso","MG"
316695,130.2,3166956,"Serranópolis de Minas","MG"
316800,98.5,3168002,"Taiobeiras","MG"
317065,105.6,3170651,"Vargem Grande do Rio Pardo","MG"
317090,134,3170909,"Varzelândia","MG"
317103,112.5,3171030,"Verdelândia","MG"
317160,123.1,3171600,"Virgem da Lapa","MG"
